REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/03/01 00:05:00,8255.46,139.85,TRADE
NSW1,2025/03/01 00:10:00,8155.17,120.10,TRADE
NSW1,2025/03/01 00:15:00,8128.9,116.68,TRADE
NSW1,2025/03/01 00:20:00,8026.21,115.58,TRADE
NSW1,2025/03/01 00:25:00,8021.57,116.21,TRADE
NSW1,2025/03/01 00:30:00,7968.6,115.22,TRADE
NSW1,2025/03/01 00:35:00,7981.26,117.48,TRADE
NSW1,2025/03/01 00:40:00,7925.87,115.82,TRADE
NSW1,2025/03/01 00:45:00,7822.5,114.40,TRADE
NSW1,2025/03/01 00:50:00,7875.83,117.96,TRADE
NSW1,2025/03/01 00:55:00,7766.99,114.58,TRADE
NSW1,2025/03/01 01:00:00,7729.84,114.64,TRADE
NSW1,2025/03/01 01:05:00,7732.86,136.97,TRADE
NSW1,2025/03/01 01:10:00,7674.57,137.94,TRADE
NSW1,2025/03/01 01:15:00,7702.54,142.90,TRADE
NSW1,2025/03/01 01:20:00,7639.33,143.66,TRADE
NSW1,2025/03/01 01:25:00,7444.7,120.02,TRADE
NSW1,2025/03/01 01:30:00,7561.36,143.18,TRADE
NSW1,2025/03/01 01:35:00,7406.17,144.25,TRADE
NSW1,2025/03/01 01:40:00,7437.45,138.11,TRADE
NSW1,2025/03/01 01:45:00,7444.94,141.09,TRADE
NSW1,2025/03/01 01:50:00,7461.97,123.97,TRADE
NSW1,2025/03/01 01:55:00,7432.06,120.02,TRADE
NSW1,2025/03/01 02:00:00,7363.84,118.11,TRADE
NSW1,2025/03/01 02:05:00,7357.17,116.70,TRADE
NSW1,2025/03/01 02:10:00,7350.69,117.61,TRADE
NSW1,2025/03/01 02:15:00,7384.43,120.02,TRADE
NSW1,2025/03/01 02:20:00,7356.02,120.02,TRADE
NSW1,2025/03/01 02:25:00,7214.71,112.23,TRADE
NSW1,2025/03/01 02:30:00,7235.35,116.67,TRADE
NSW1,2025/03/01 02:35:00,7319.18,120.02,TRADE
NSW1,2025/03/01 02:40:00,7268.27,120.02,TRADE
NSW1,2025/03/01 02:45:00,7234.17,116.86,TRADE
NSW1,2025/03/01 02:50:00,7233.47,115.76,TRADE
NSW1,2025/03/01 02:55:00,7252.16,115.66,TRADE
NSW1,2025/03/01 03:00:00,7215.4,115.64,TRADE
NSW1,2025/03/01 03:05:00,7172.47,115.85,TRADE
NSW1,2025/03/01 03:10:00,7256.83,118.90,TRADE
NSW1,2025/03/01 03:15:00,7133.73,115.10,TRADE
NSW1,2025/03/01 03:20:00,7196.48,119.35,TRADE
NSW1,2025/03/01 03:25:00,7139.64,114.60,TRADE
NSW1,2025/03/01 03:30:00,7186.19,115.56,TRADE
NSW1,2025/03/01 03:35:00,7162.09,120.02,TRADE
NSW1,2025/03/01 03:40:00,7192.31,120.02,TRADE
NSW1,2025/03/01 03:45:00,7198.12,120.92,TRADE
NSW1,2025/03/01 03:50:00,7247.25,141.64,TRADE
NSW1,2025/03/01 03:55:00,7247.8,137.42,TRADE
NSW1,2025/03/01 04:00:00,7128.76,120.91,TRADE
NSW1,2025/03/01 04:05:00,7170.85,116.03,TRADE
NSW1,2025/03/01 04:10:00,7230.55,119.28,TRADE
NSW1,2025/03/01 04:15:00,7259.26,132.44,TRADE
NSW1,2025/03/01 04:20:00,7223.54,137.95,TRADE
