REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/12/01 00:05:00,6514.43,59.28,TRADE
NSW1,2025/12/01 00:10:00,6615.26,69.78,TRADE
NSW1,2025/12/01 00:15:00,6553.27,79.95,TRADE
NSW1,2025/12/01 00:20:00,6467.68,65,TRADE
NSW1,2025/12/01 00:25:00,6525.81,57.06,TRADE
NSW1,2025/12/01 00:30:00,6420.45,68.30,TRADE
NSW1,2025/12/01 00:35:00,6395.72,68.31,TRADE
NSW1,2025/12/01 00:40:00,6355.42,57.06,TRADE
NSW1,2025/12/01 00:45:00,6342.71,71.02,TRADE
NSW1,2025/12/01 00:50:00,6297.47,60.36,TRADE
NSW1,2025/12/01 00:55:00,6217.1,59.14,TRADE
NSW1,2025/12/01 01:00:00,6236.87,59.23,TRADE
NSW1,2025/12/01 01:05:00,6218.46,57.06,TRADE
NSW1,2025/12/01 01:10:00,6261.44,57.06,TRADE
NSW1,2025/12/01 01:15:00,6191.63,51.95,TRADE
NSW1,2025/12/01 01:20:00,6160.42,56.98,TRADE
NSW1,2025/12/01 01:25:00,6120.54,51.71,TRADE
NSW1,2025/12/01 01:30:00,6186.71,52.01,TRADE
NSW1,2025/12/01 01:35:00,6136.18,52.68,TRADE
NSW1,2025/12/01 01:40:00,6164.65,53.04,TRADE
NSW1,2025/12/01 01:45:00,6115.93,52.47,TRADE
NSW1,2025/12/01 01:50:00,6036.68,51.99,TRADE
NSW1,2025/12/01 01:55:00,6079.51,53.02,TRADE
NSW1,2025/12/01 02:00:00,6034.49,52.67,TRADE
NSW1,2025/12/01 02:05:00,6119.04,57.06,TRADE
NSW1,2025/12/01 02:10:00,6073.2,54.46,TRADE
NSW1,2025/12/01 02:15:00,6043.57,56.98,TRADE
NSW1,2025/12/01 02:20:00,6077.96,57.06,TRADE
NSW1,2025/12/01 02:25:00,6048.38,57.06,TRADE
NSW1,2025/12/01 02:30:00,6063.94,56.98,TRADE
NSW1,2025/12/01 02:35:00,6062.91,56.98,TRADE
NSW1,2025/12/01 02:40:00,5996.34,52.16,TRADE
NSW1,2025/12/01 02:45:00,6032.63,53.17,TRADE
NSW1,2025/12/01 02:50:00,6036.75,57.06,TRADE
NSW1,2025/12/01 02:55:00,6020.97,56.98,TRADE
NSW1,2025/12/01 03:00:00,6003.8,56.98,TRADE
NSW1,2025/12/01 03:05:00,5988.72,57.06,TRADE
NSW1,2025/12/01 03:10:00,6071.2,60.56,TRADE
