REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/05/01 00:05:00,7440.12,79.79,TRADE
NSW1,2025/05/01 00:10:00,7457.53,77.79,TRADE
NSW1,2025/05/01 00:15:00,7459.28,76.59,TRADE
NSW1,2025/05/01 00:20:00,7418.79,76.80,TRADE
NSW1,2025/05/01 00:25:00,7357.51,76.59,TRADE
NSW1,2025/05/01 00:30:00,7336.42,76.80,TRADE
NSW1,2025/05/01 00:35:00,7325.54,79.50,TRADE
NSW1,2025/05/01 00:40:00,7296.71,78.52,TRADE
NSW1,2025/05/01 00:45:00,7300.37,76.49,TRADE
NSW1,2025/05/01 00:50:00,7284.81,76.80,TRADE
NSW1,2025/05/01 00:55:00,7250.9,76.80,TRADE
NSW1,2025/05/01 01:00:00,7210.53,76.80,TRADE
NSW1,2025/05/01 01:05:00,7194.41,76.80,TRADE
NSW1,2025/05/01 01:10:00,7159.9,76.80,TRADE
NSW1,2025/05/01 01:15:00,7157.01,76.59,TRADE
NSW1,2025/05/01 01:20:00,7070.5,74.12,TRADE
NSW1,2025/05/01 01:25:00,6993.92,73.24,TRADE
NSW1,2025/05/01 01:30:00,6947.8,73.96,TRADE
NSW1,2025/05/01 01:35:00,6915.41,69.57,TRADE
NSW1,2025/05/01 01:40:00,7041.61,80.01,TRADE
NSW1,2025/05/01 01:45:00,6971.47,73.29,TRADE
NSW1,2025/05/01 01:50:00,7017.64,76.80,TRADE
NSW1,2025/05/01 01:55:00,6879.68,76.80,TRADE
NSW1,2025/05/01 02:00:00,6889.61,76.80,TRADE
NSW1,2025/05/01 02:05:00,6811.39,76.80,TRADE
NSW1,2025/05/01 02:10:00,6784.39,76.80,TRADE
NSW1,2025/05/01 02:15:00,6699.15,75.45,TRADE
NSW1,2025/05/01 02:20:00,6743.61,76.80,TRADE
NSW1,2025/05/01 02:25:00,6671.36,76.80,TRADE
NSW1,2025/05/01 02:30:00,6632.07,76.80,TRADE
NSW1,2025/05/01 02:35:00,6611.01,76.80,TRADE
NSW1,2025/05/01 02:40:00,6561.77,76.80,TRADE
NSW1,2025/05/01 02:45:00,6557.86,76.80,TRADE
NSW1,2025/05/01 02:50:00,6515.11,76.80,TRADE
