REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/08/01 00:05:00,8890.78,133.19,TRADE
NSW1,2025/08/01 00:10:00,8937.2,160.11,TRADE
NSW1,2025/08/01 00:15:00,8697.02,116.52,TRADE
NSW1,2025/08/01 00:20:00,8814.26,118.72,TRADE
NSW1,2025/08/01 00:25:00,8710.57,116.57,TRADE
NSW1,2025/08/01 00:30:00,8732.96,116.63,TRADE
NSW1,2025/08/01 00:35:00,8705.31,116.63,TRADE
NSW1,2025/08/01 00:40:00,8649.78,116.01,TRADE
NSW1,2025/08/01 00:45:00,8606.45,114.63,TRADE
NSW1,2025/08/01 00:50:00,8561.53,115.92,TRADE
NSW1,2025/08/01 00:55:00,8522.05,114.31,TRADE
NSW1,2025/08/01 01:00:00,8520.38,115.47,TRADE
NSW1,2025/08/01 01:05:00,8495.09,118.40,TRADE
NSW1,2025/08/01 01:10:00,8518.71,119.99,TRADE
NSW1,2025/08/01 01:15:00,8393.99,113,TRADE
NSW1,2025/08/01 01:20:00,8376.39,117.08,TRADE
NSW1,2025/08/01 01:25:00,8312.43,119.36,TRADE
NSW1,2025/08/01 01:30:00,8215.35,116.54,TRADE
NSW1,2025/08/01 01:35:00,8190.21,120,TRADE
NSW1,2025/08/01 01:40:00,8266.8,121.07,TRADE
NSW1,2025/08/01 01:45:00,8241.61,118.02,TRADE
NSW1,2025/08/01 01:50:00,8154.14,118.07,TRADE
NSW1,2025/08/01 01:55:00,8101.18,118.72,TRADE
NSW1,2025/08/01 02:00:00,8141.01,120.31,TRADE
NSW1,2025/08/01 02:05:00,8101.63,131.56,TRADE
NSW1,2025/08/01 02:10:00,8077.73,160.85,TRADE
NSW1,2025/08/01 02:15:00,8028.04,134.87,TRADE
NSW1,2025/08/01 02:20:00,7951.21,120.46,TRADE
NSW1,2025/08/01 02:25:00,7894.09,120.53,TRADE
NSW1,2025/08/01 02:30:00,7846.98,108.89,TRADE
NSW1,2025/08/01 02:35:00,7842.77,112.27,TRADE
NSW1,2025/08/01 02:40:00,7781.28,108.89,TRADE
NSW1,2025/08/01 02:45:00,7803.53,123.65,TRADE
NSW1,2025/08/01 02:50:00,7818.43,120.38,TRADE
NSW1,2025/08/01 02:55:00,7826.72,121.26,TRADE
NSW1,2025/08/01 03:00:00,7810.88,119.61,TRADE
NSW1,2025/08/01 03:05:00,7726.57,108.89,TRADE
NSW1,2025/08/01 03:10:00,7703.4,110.31,TRADE
NSW1,2025/08/01 03:15:00,7739.48,121.34,TRADE
NSW1,2025/08/01 03:20:00,7668.7,120.38,TRADE
NSW1,2025/08/01 03:25:00,7715.58,135.20,TRADE
NSW1,2025/08/01 03:30:00,7768.97,155.02,TRADE
NSW1,2025/08/01 03:35:00,7638.64,120.42,TRADE
NSW1,2025/08/01 03:40:00,7836.13,160.03,TRADE
NSW1,2025/08/01 03:45:00,7794.87,156.24,TRADE
NSW1,2025/08/01 03:50:00,7877.63,162.74,TRADE
NSW1,2025/08/01 03:55:00,7769.69,159.34,TRADE
NSW1,2025/08/01 04:00:00,7789.31,142.95,TRADE
NSW1,2025/08/01 04:05:00,7739.83,132.07,TRADE
NSW1,2025/08/01 04:10:00,7893.23,157.24,TRADE
NSW1,2025/08/01 04:15:00,7887.75,158.08,TRADE
NSW1,2025/08/01 04:20:00,7888.57,161.99,TRADE
NSW1,2025/08/01 04:25:00,7827.2,158.36,TRADE
NSW1,2025/08/01 04:30:00,7876.94,169.27,TRADE
NSW1,2025/08/01 04:35:00,7885.46,164.71,TRADE
NSW1,2025/08/01 04:40:00,8012.45,167.86,TRADE
NSW1,2025/08/01 04:45:00,8024.23,190.42,TRADE
NSW1,2025/08/01 04:50:00,7953.08,181.72,TRADE
NSW1,2025/08/01 04:55:00,8044.33,182.12,TRADE
NSW1,2025/08/01 05:00:00,8069.05,167.66,TRADE
NSW1,2025/08/01 05:05:00,8117.22,181.38,TRADE
NSW1,2025/08/01 05:10:00,8337.41,238.56,TRADE
NSW1,2025/08/01 05:15:00,8369.38,183.13,TRADE
NSW1,2025/08/01 05:20:00,8411.19,181.82,TRADE
NSW1,2025/08/01 05:25:00,8515.27,248.30,TRADE
NSW1,2025/08/01 05:30:00,8462.73,223.02,TRADE
NSW1,2025/08/01 05:35:00,8556.41,252.88,TRADE
NSW1,2025/08/01 05:40:00,8585.53,244.54,TRADE
NSW1,2025/08/01 05:45:00,8588.54,233.22,TRADE
NSW1,2025/08/01 05:50:00,8671.13,245.94,TRADE
