REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/02/01 00:05:00,7133.42,76,TRADE
NSW1,2025/02/01 00:10:00,7138.73,75.90,TRADE
NSW1,2025/02/01 00:15:00,7026.02,75.90,TRADE
NSW1,2025/02/01 00:20:00,6985.95,76,TRADE
NSW1,2025/02/01 00:25:00,6926.08,75.90,TRADE
NSW1,2025/02/01 00:30:00,6939.85,75.70,TRADE
NSW1,2025/02/01 00:35:00,6843.59,75.75,TRADE
NSW1,2025/02/01 00:40:00,6863.69,76,TRADE
NSW1,2025/02/01 00:45:00,6766.75,75.90,TRADE
NSW1,2025/02/01 00:50:00,6713.81,75.90,TRADE
NSW1,2025/02/01 00:55:00,6699.2,57.01,TRADE
NSW1,2025/02/01 01:00:00,6712.07,75.90,TRADE
NSW1,2025/02/01 01:05:00,6595.57,57.01,TRADE
NSW1,2025/02/01 01:10:00,6698.08,57.01,TRADE
NSW1,2025/02/01 01:15:00,6654.72,57.01,TRADE
NSW1,2025/02/01 01:20:00,6601.42,75.90,TRADE
NSW1,2025/02/01 01:25:00,6519.07,56.98,TRADE
NSW1,2025/02/01 01:30:00,6559.76,57.01,TRADE
NSW1,2025/02/01 01:35:00,6514.02,75.90,TRADE
NSW1,2025/02/01 01:40:00,6549.87,76,TRADE
NSW1,2025/02/01 01:45:00,6434.84,57.01,TRADE
NSW1,2025/02/01 01:50:00,6415.57,74.85,TRADE
NSW1,2025/02/01 01:55:00,6427.51,75.88,TRADE
NSW1,2025/02/01 02:00:00,6457.71,76,TRADE
NSW1,2025/02/01 02:05:00,6399.64,76,TRADE
NSW1,2025/02/01 02:10:00,6426.97,76.24,TRADE
NSW1,2025/02/01 02:15:00,6406.98,73.24,TRADE
NSW1,2025/02/01 02:20:00,6386.37,75.90,TRADE
NSW1,2025/02/01 02:25:00,6356.41,75.90,TRADE
NSW1,2025/02/01 02:30:00,6360.54,75.90,TRADE
NSW1,2025/02/01 02:35:00,6283.81,75.90,TRADE
