REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/10/01 00:05:00,7170.68,80.01,TRADE
NSW1,2025/10/01 00:10:00,7158.5,58.40,TRADE
NSW1,2025/10/01 00:15:00,7177.8,80.01,TRADE
NSW1,2025/10/01 00:20:00,7085.54,65,TRADE
NSW1,2025/10/01 00:25:00,7092.79,63.83,TRADE
NSW1,2025/10/01 00:30:00,7066.08,61.05,TRADE
NSW1,2025/10/01 00:35:00,7055.68,57.13,TRADE
NSW1,2025/10/01 00:40:00,7077.07,61.05,TRADE
NSW1,2025/10/01 00:45:00,6990.77,57.01,TRADE
NSW1,2025/10/01 00:50:00,7034.73,65,TRADE
NSW1,2025/10/01 00:55:00,7051.89,59.48,TRADE
NSW1,2025/10/01 01:00:00,6950.65,56.98,TRADE
NSW1,2025/10/01 01:05:00,6890.76,62.43,TRADE
NSW1,2025/10/01 01:10:00,6936.84,80.01,TRADE
NSW1,2025/10/01 01:15:00,6875.87,69.31,TRADE
NSW1,2025/10/01 01:20:00,6793.84,57.01,TRADE
NSW1,2025/10/01 01:25:00,6763.21,57.01,TRADE
NSW1,2025/10/01 01:30:00,6760.24,60.79,TRADE
NSW1,2025/10/01 01:35:00,6659.66,68.15,TRADE
NSW1,2025/10/01 01:40:00,6763.07,80.01,TRADE
NSW1,2025/10/01 01:45:00,6678.73,65,TRADE
NSW1,2025/10/01 01:50:00,6702.58,65.07,TRADE
NSW1,2025/10/01 01:55:00,6657.68,65.07,TRADE
NSW1,2025/10/01 02:00:00,6570.51,57.01,TRADE
NSW1,2025/10/01 02:05:00,6604.25,66.59,TRADE
NSW1,2025/10/01 02:10:00,6620.02,80.01,TRADE
NSW1,2025/10/01 02:15:00,6559.39,69.15,TRADE
NSW1,2025/10/01 02:20:00,6559.95,65,TRADE
NSW1,2025/10/01 02:25:00,6493.97,59.47,TRADE
NSW1,2025/10/01 02:30:00,6492.23,59.84,TRADE
NSW1,2025/10/01 02:35:00,6456.32,77.18,TRADE
NSW1,2025/10/01 02:40:00,6474.27,80.01,TRADE
NSW1,2025/10/01 02:45:00,6455.84,60.47,TRADE
NSW1,2025/10/01 02:50:00,6485.7,65,TRADE
NSW1,2025/10/01 02:55:00,6397.05,59.76,TRADE
NSW1,2025/10/01 03:00:00,6318.72,57.01,TRADE
NSW1,2025/10/01 03:05:00,6267.11,57.01,TRADE
NSW1,2025/10/01 03:10:00,6294.1,60.51,TRADE
NSW1,2025/10/01 03:15:00,6237.65,57.01,TRADE
NSW1,2025/10/01 03:20:00,6258.2,68.96,TRADE
NSW1,2025/10/01 03:25:00,6208.43,57.01,TRADE
NSW1,2025/10/01 03:30:00,6212.19,56.98,TRADE
NSW1,2025/10/01 03:35:00,6187.3,56.98,TRADE
NSW1,2025/10/01 03:40:00,6152,57.01,TRADE
NSW1,2025/10/01 03:45:00,6209.2,65,TRADE
NSW1,2025/10/01 03:50:00,6214.82,57.01,TRADE
NSW1,2025/10/01 03:55:00,6156.42,58.02,TRADE
NSW1,2025/10/01 04:00:00,6192.1,58.47,TRADE
NSW1,2025/10/01 04:05:00,6196.65,56.98,TRADE
