REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/09/01 00:05:00,7780.94,120.06,TRADE
NSW1,2025/09/01 00:10:00,7800.48,138.35,TRADE
NSW1,2025/09/01 00:15:00,7684.73,123.48,TRADE
NSW1,2025/09/01 00:20:00,7671.49,122.49,TRADE
NSW1,2025/09/01 00:25:00,7686.41,121.05,TRADE
NSW1,2025/09/01 00:30:00,7652.93,121.91,TRADE
NSW1,2025/09/01 00:35:00,7621.13,121.42,TRADE
NSW1,2025/09/01 00:40:00,7618.18,118.90,TRADE
NSW1,2025/09/01 00:45:00,7634.84,119.73,TRADE
NSW1,2025/09/01 00:50:00,7606.45,141.67,TRADE
NSW1,2025/09/01 00:55:00,7633.38,120.82,TRADE
NSW1,2025/09/01 01:00:00,7619.89,141.67,TRADE
NSW1,2025/09/01 01:05:00,7454.8,121.70,TRADE
NSW1,2025/09/01 01:10:00,7534.93,138.42,TRADE
NSW1,2025/09/01 01:15:00,7433.25,120.67,TRADE
NSW1,2025/09/01 01:20:00,7455.09,121.03,TRADE
NSW1,2025/09/01 01:25:00,7380.65,111.71,TRADE
NSW1,2025/09/01 01:30:00,7327.26,105.79,TRADE
NSW1,2025/09/01 01:35:00,7347.27,109.64,TRADE
NSW1,2025/09/01 01:40:00,7334.7,111.83,TRADE
NSW1,2025/09/01 01:45:00,7311.77,109.81,TRADE
NSW1,2025/09/01 01:50:00,7292.24,108.99,TRADE
NSW1,2025/09/01 01:55:00,7185.12,108.36,TRADE
NSW1,2025/09/01 02:00:00,7180.59,108.42,TRADE
NSW1,2025/09/01 02:05:00,7194.95,119.67,TRADE
NSW1,2025/09/01 02:10:00,7210.43,110.96,TRADE
NSW1,2025/09/01 02:15:00,7183.17,120.22,TRADE
NSW1,2025/09/01 02:20:00,7159.11,107.67,TRADE
NSW1,2025/09/01 02:25:00,7148.81,108.66,TRADE
NSW1,2025/09/01 02:30:00,7132.29,122.91,TRADE
NSW1,2025/09/01 02:35:00,7131.27,110.71,TRADE
NSW1,2025/09/01 02:40:00,7240.31,111.43,TRADE
NSW1,2025/09/01 02:45:00,7126.38,106.30,TRADE
NSW1,2025/09/01 02:50:00,7188.14,110.85,TRADE
NSW1,2025/09/01 02:55:00,7141.51,110.69,TRADE
NSW1,2025/09/01 03:00:00,7136.43,107.85,TRADE
NSW1,2025/09/01 03:05:00,7033.09,118.67,TRADE
NSW1,2025/09/01 03:10:00,7045.39,108.35,TRADE
NSW1,2025/09/01 03:15:00,7061.95,131.93,TRADE
NSW1,2025/09/01 03:20:00,7084.3,124.30,TRADE
NSW1,2025/09/01 03:25:00,7073.71,117.14,TRADE
NSW1,2025/09/01 03:30:00,7055.88,118.80,TRADE
NSW1,2025/09/01 03:35:00,7064.42,118.77,TRADE
NSW1,2025/09/01 03:40:00,7186.52,122.82,TRADE
NSW1,2025/09/01 03:45:00,7236.16,138.42,TRADE
NSW1,2025/09/01 03:50:00,7208.22,134.31,TRADE
NSW1,2025/09/01 03:55:00,7199.29,122.44,TRADE
NSW1,2025/09/01 04:00:00,7154.1,120.11,TRADE
NSW1,2025/09/01 04:05:00,7200.63,120.80,TRADE
NSW1,2025/09/01 04:10:00,7317.06,138.35,TRADE
NSW1,2025/09/01 04:15:00,7300.31,158.98,TRADE
NSW1,2025/09/01 04:20:00,7313.07,138.35,TRADE
NSW1,2025/09/01 04:25:00,7248.64,139.55,TRADE
NSW1,2025/09/01 04:30:00,7303.44,138.42,TRADE
NSW1,2025/09/01 04:35:00,7319.72,120.69,TRADE
NSW1,2025/09/01 04:40:00,7379.68,141.01,TRADE
NSW1,2025/09/01 04:45:00,7288.44,118.82,TRADE
NSW1,2025/09/01 04:50:00,7322.14,140.70,TRADE
NSW1,2025/09/01 04:55:00,7406.29,138.35,TRADE
NSW1,2025/09/01 05:00:00,7415.6,140.67,TRADE
NSW1,2025/09/01 05:05:00,7521.17,142.34,TRADE
NSW1,2025/09/01 05:10:00,7610.72,164.70,TRADE
NSW1,2025/09/01 05:15:00,7657.36,166.57,TRADE
NSW1,2025/09/01 05:20:00,7616.37,158.98,TRADE
NSW1,2025/09/01 05:25:00,7753.72,178.53,TRADE
NSW1,2025/09/01 05:30:00,7709.35,153.65,TRADE
NSW1,2025/09/01 05:35:00,7802.53,182.73,TRADE
NSW1,2025/09/01 05:40:00,7864.28,164.96,TRADE
NSW1,2025/09/01 05:45:00,7989.3,186.80,TRADE
NSW1,2025/09/01 05:50:00,8061.27,183.30,TRADE
NSW1,2025/09/01 05:55:00,8174.46,151.80,TRADE
NSW1,2025/09/01 06:00:00,8218.36,209.76,TRADE
NSW1,2025/09/01 06:05:00,8335.64,152.92,TRADE
NSW1,2025/09/01 06:10:00,8616.5,183.39,TRADE
NSW1,2025/09/01 06:15:00,8682.89,160.19,TRADE
NSW1,2025/09/01 06:20:00,8798.43,181.91,TRADE
NSW1,2025/09/01 06:25:00,8895.8,203.94,TRADE
NSW1,2025/09/01 06:30:00,9014.59,214.41,TRADE
NSW1,2025/09/01 06:35:00,9103.07,212.04,TRADE
NSW1,2025/09/01 06:40:00,9270.25,272.10,TRADE
NSW1,2025/09/01 06:45:00,9225.74,299.99,TRADE
NSW1,2025/09/01 06:50:00,9353.97,299.99,TRADE
NSW1,2025/09/01 06:55:00,9346.67,299.99,TRADE
NSW1,2025/09/01 07:00:00,9355.21,261.82,TRADE
NSW1,2025/09/01 07:05:00,9378.4,400.32,TRADE
NSW1,2025/09/01 07:10:00,9322.38,299.99,TRADE
NSW1,2025/09/01 07:15:00,9482.3,299.99,TRADE
NSW1,2025/09/01 07:20:00,9427.1,299.99,TRADE
NSW1,2025/09/01 07:25:00,9432.05,276.40,TRADE
NSW1,2025/09/01 07:30:00,9374.28,274.72,TRADE
NSW1,2025/09/01 07:35:00,9272.06,225.74,TRADE
NSW1,2025/09/01 07:40:00,9204.26,207.42,TRADE
NSW1,2025/09/01 07:45:00,9173.32,206.99,TRADE
NSW1,2025/09/01 07:50:00,9144.67,149.99,TRADE
NSW1,2025/09/01 07:55:00,9094.47,149.99,TRADE
NSW1,2025/09/01 08:00:00,8986.17,138.35,TRADE
NSW1,2025/09/01 08:05:00,8960.89,151.79,TRADE
NSW1,2025/09/01 08:10:00,8862.33,149.99,TRADE
NSW1,2025/09/01 08:15:00,8757.48,107.52,TRADE
NSW1,2025/09/01 08:20:00,8631.63,138,TRADE
NSW1,2025/09/01 08:25:00,8414.5,163.72,TRADE
NSW1,2025/09/01 08:30:00,8305.24,154.66,TRADE
NSW1,2025/09/01 08:35:00,8183.16,167.56,TRADE
NSW1,2025/09/01 08:40:00,8030.01,165.55,TRADE
NSW1,2025/09/01 08:45:00,7899.19,138,TRADE
NSW1,2025/09/01 08:50:00,7721.63,120.94,TRADE
NSW1,2025/09/01 08:55:00,7701.37,116.79,TRADE
NSW1,2025/09/01 09:00:00,7541.01,102.98,TRADE
NSW1,2025/09/01 09:05:00,7455.72,94.52,TRADE
NSW1,2025/09/01 09:10:00,7391.19,157.22,TRADE
NSW1,2025/09/01 09:15:00,7166.47,87.35,TRADE
NSW1,2025/09/01 09:20:00,7184.87,122.86,TRADE
NSW1,2025/09/01 09:25:00,7144.79,108.89,TRADE
NSW1,2025/09/01 09:30:00,6998.74,60.36,TRADE
NSW1,2025/09/01 09:35:00,6867.66,80.75,TRADE
NSW1,2025/09/01 09:40:00,6760.14,82.29,TRADE
NSW1,2025/09/01 09:45:00,6641.57,76.35,TRADE
NSW1,2025/09/01 09:50:00,6575.11,37.65,TRADE
NSW1,2025/09/01 09:55:00,6447.52,54.75,TRADE
NSW1,2025/09/01 10:00:00,6320.49,37,TRADE
NSW1,2025/09/01 10:05:00,6272.44,36.52,TRADE
NSW1,2025/09/01 10:10:00,6404.16,64.12,TRADE
NSW1,2025/09/01 10:15:00,6272.51,37.15,TRADE
NSW1,2025/09/01 10:20:00,6245.65,35.76,TRADE
NSW1,2025/09/01 10:25:00,6138.35,38.44,TRADE
NSW1,2025/09/01 10:30:00,6086.3,37.26,TRADE
NSW1,2025/09/01 10:35:00,5999.07,38.82,TRADE
NSW1,2025/09/01 10:40:00,5895.91,37,TRADE
NSW1,2025/09/01 10:45:00,5785.39,56.78,TRADE
NSW1,2025/09/01 10:50:00,5659.57,35.09,TRADE
NSW1,2025/09/01 10:55:00,5645.66,36.50,TRADE
NSW1,2025/09/01 11:00:00,5624.14,64.63,TRADE
