REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/06/01 00:05:00,7738.44,139.31,TRADE
NSW1,2025/06/01 00:10:00,7703.11,140.52,TRADE
NSW1,2025/06/01 00:15:00,7695.3,143.67,TRADE
NSW1,2025/06/01 00:20:00,7662.87,145.25,TRADE
NSW1,2025/06/01 00:25:00,7639.54,150.68,TRADE
NSW1,2025/06/01 00:30:00,7516.92,141.12,TRADE
NSW1,2025/06/01 00:35:00,7527.9,151.06,TRADE
NSW1,2025/06/01 00:40:00,7528.39,151.45,TRADE
NSW1,2025/06/01 00:45:00,7529.53,151.45,TRADE
NSW1,2025/06/01 00:50:00,7530.83,147.32,TRADE
NSW1,2025/06/01 00:55:00,7510.53,147.61,TRADE
NSW1,2025/06/01 01:00:00,7459.37,133.96,TRADE
NSW1,2025/06/01 01:05:00,7438.11,140.46,TRADE
NSW1,2025/06/01 01:10:00,7461.68,135.96,TRADE
NSW1,2025/06/01 01:15:00,7440.33,145.05,TRADE
NSW1,2025/06/01 01:20:00,7287.03,129.44,TRADE
NSW1,2025/06/01 01:25:00,7343.93,114.29,TRADE
NSW1,2025/06/01 01:30:00,7202.43,106.57,TRADE
NSW1,2025/06/01 01:35:00,7170.03,111.67,TRADE
NSW1,2025/06/01 01:40:00,7133.77,111.83,TRADE
NSW1,2025/06/01 01:45:00,7173.57,109.58,TRADE
NSW1,2025/06/01 01:50:00,7148.8,82.74,TRADE
NSW1,2025/06/01 01:55:00,7134.03,81.33,TRADE
NSW1,2025/06/01 02:00:00,6979.52,78.89,TRADE
NSW1,2025/06/01 02:05:00,6999.43,82,TRADE
NSW1,2025/06/01 02:10:00,7051.56,88.48,TRADE
NSW1,2025/06/01 02:15:00,7018.58,88.22,TRADE
NSW1,2025/06/01 02:20:00,6934.42,83.40,TRADE
NSW1,2025/06/01 02:25:00,6900.83,79.98,TRADE
NSW1,2025/06/01 02:30:00,6876.92,76.58,TRADE
NSW1,2025/06/01 02:35:00,6857.46,81.05,TRADE
NSW1,2025/06/01 02:40:00,6877.39,76.80,TRADE
NSW1,2025/06/01 02:45:00,6780.23,76.02,TRADE
NSW1,2025/06/01 02:50:00,6775.89,76.58,TRADE
NSW1,2025/06/01 02:55:00,6782.83,76.58,TRADE
NSW1,2025/06/01 03:00:00,6769.97,76.02,TRADE
NSW1,2025/06/01 03:05:00,6697.16,79.18,TRADE
NSW1,2025/06/01 03:10:00,6727.24,84,TRADE
NSW1,2025/06/01 03:15:00,6744.46,79.58,TRADE
NSW1,2025/06/01 03:20:00,6723.12,79.02,TRADE
NSW1,2025/06/01 03:25:00,6751.6,76.80,TRADE
NSW1,2025/06/01 03:30:00,6712.73,76.80,TRADE
NSW1,2025/06/01 03:35:00,6717.4,76.02,TRADE
NSW1,2025/06/01 03:40:00,6997,86.99,TRADE
NSW1,2025/06/01 03:45:00,7013.92,90.53,TRADE
NSW1,2025/06/01 03:50:00,7039.46,83.91,TRADE
